lesson_id,exercise_type,question,options,correct_answer
1,example,"Bố tôi là một kỹ sư. (My father is an engineer.)",,
1,example,"Mẹ tôi nấu ăn rất ngon. (My mother cooks very well.)",,
1,example,"Tôi có một anh trai lớn hơn tôi ba tuổi. (I have an older brother who is three years older than me.)",,
2,example,"Tôi thích đi học vì tôi gặp bạn bè ở trường. (I like going to school because I meet friends there.)",,
2,example,"Giáo viên của tôi rất thân thiện. (My teacher is very friendly.)",,
2,example,"Hôm nay chúng tôi có rất nhiều bài tập về nhà. (Today we have a lot of homework.)",,
3,example,"Tôi làm việc ở một công ty công nghệ. (I work at a technology company.)",,
3,example,"Sáng nay chúng tôi có một cuộc họp quan trọng. (We have an important meeting this morning.)",,
3,example,"Tôi hy vọng sẽ được tăng lương vào cuối năm. (I hope to get a raise at the end of the year.)",,
4,example,"Xin chào! Bạn khỏe không? (Hello! How are you?)",,
4,example,"Cảm ơn bạn đã giúp tôi! (Thank you for helping me!)",,
4,example,"Xin lỗi, tôi đến trễ. (Sorry, I'm late.)",,
5,example,"Tôi đã đặt vé máy bay đến Hà Nội. (I booked a plane ticket to Hanoi.)",,
5,example,"Chúng tôi sẽ ở trong một khách sạn gần bãi biển. (We will stay in a hotel near the beach.)",,
5,example,"Bạn có thể chỉ đường cho tôi không? (Can you show me the way?)",,
6,example,"Tôi thích ăn phở vào buổi sáng. (I like eating pho in the morning.)",,
6,example,"Một ly cà phê sữa đá, làm ơn. (A glass of iced milk coffee, please.)",,
6,example,"Bạn có thích ăn rau không? (Do you like eating vegetables?)",,
7,example,"Tôi đi làm bằng xe máy mỗi ngày. (I go to work by motorbike every day.)",,
7,example,"Sân bay này rất lớn. (This airport is very big.)",,
7,example,"Chúng tôi sẽ đi tàu hỏa đến Sapa. (We will take a train to Sapa.)",,
8,example,"Hôm nay trời rất nắng. (It is very sunny today.)",,
8,example,"Tôi thích mùa đông vì tôi có thể ngắm tuyết rơi. (I like winter because I can watch the snow fall.)",,
8,example,"Ở đây rất lạnh vào mùa đông. (It is very cold here in winter.)",,
9,example,"Tôi bị sốt và đau đầu. (I have a fever and a headache.)",,
9,example,"Bạn nên uống thuốc và nghỉ ngơi. (You should take medicine and rest.)",,
9,example,"Tập thể dục mỗi ngày giúp cơ thể khỏe mạnh. (Exercising every day keeps the body healthy.)",,
10,example,"Hôm nay là thứ hai. (Today is Monday.)",,
10,example,"Tôi sẽ gặp bạn vào buổi chiều. (I will meet you in the afternoon.)",,
10,example,"Chúng ta chỉ còn năm phút nữa. (We only have five minutes left.)",,
