lesson_id,title,description
1,Gia đình,Bài học từ vựng về gia đình.
2,Trường học,Bài học từ vựng về trường học.
3,Công việc,Bài học từ vựng về công việc.
4,Giao tiếp hàng ngày,Bài học từ vựng về giao tiếp hàng ngày.
5,Du lịch,Bài học từ vựng về du lịch.
6,Thức ăn & Đồ uống,Bài học từ vựng về thức ăn và đồ uống.
7,Phương tiện giao thông,Bài học từ vựng về phương tiện giao thông.
8,Thời tiết & Mùa,Bài học từ vựng về thời tiết và mùa.
9,Sức khỏe & Cơ thể,Bài học từ vựng về sức khỏe và cơ thể.
10,Thời gian & Ngày tháng,Bài học từ vựng về thời gian và ngày tháng.
